candidate_id,rank,score,reasoning
CAND_0071974,1,0.8112,"Clear alignment on 8 JD requirements, notably retrieval, elasticsearch, bm25. The technical stack includes elasticsearch, bm25, which aligns with JD needs."
CAND_0002025,2,0.7821,"Directly relevant skill set spanning python, retrieval, faiss and 5 other JD requirements. Currently open to opportunities with a 30-day notice period. However, credibility signals: possible keyword inflation."
CAND_0039754,3,0.7715,"Clear alignment on 11 JD requirements, notably python, retrieval, faiss. Currently open to opportunities with a 30-day notice period. However, credibility signals: possible keyword inflation."
CAND_0046525,4,0.7715,"The profile covers key areas the JD calls for, including retrieval, faiss, elasticsearch. The technical stack includes faiss, hnsw, which aligns with JD needs. The main concern is that credibility signals: possible keyword inflation."
CAND_0008425,5,0.7614,"Well-matched on core JD requirements with skills in python, retrieval, bm25. The technical stack includes bm25, pinecone, which aligns with JD needs."
CAND_0018499,6,0.7568,"Directly relevant skill set spanning retrieval, faiss, dense retrieval and 6 other JD requirements. The career path shows 3 relevant engineering roles, indicating sustained focus. However, credibility signals: possible keyword inflation, low description quality."
CAND_0055905,7,0.7565,"Well-matched on core JD requirements with skills in python, retrieval, vector search. Currently open to opportunities with a 30-day notice period. However, credibility signals: possible keyword inflation."
CAND_0046064,8,0.7529,"Clear alignment on 12 JD requirements, notably python, retrieval, vector search. Background includes experience at a major tech company. However, credibility signals: possible keyword inflation."
CAND_0077337,9,0.7416,"The profile covers key areas the JD calls for, including python, retrieval, bm25. Career history includes clear production deployment evidence over 7 years. A limitation is that credibility signals: low description quality."
CAND_0079387,10,0.7339,"Directly relevant skill set spanning python, retrieval, vector search and 8 other JD requirements. Currently open to opportunities with a 30-day notice period."
CAND_0005649,11,0.7325,"Directly relevant skill set spanning retrieval, faiss, elasticsearch and 7 other JD requirements. The technical stack includes faiss, elasticsearch, which aligns with JD needs."
CAND_0041611,12,0.7283,"Well-matched on core JD requirements with skills in retrieval, faiss, dense retrieval. Career history includes clear production deployment evidence over 6 years."
CAND_0081846,13,0.7251,"Directly relevant skill set spanning python, retrieval, vector search and 10 other JD requirements. Proof-of-work signals are present (shipped (2 signals) · scale (2 signals) · retrieval infra (4 signals) · eval rigor (7 signals)). However, credibility signals: possible keyword inflation."
CAND_0011687,14,0.7245,"Clear alignment on 7 JD requirements, notably retrieval, faiss, production ml. Currently open to opportunities with a 15-day notice period. A limitation is that credibility signals: possible keyword inflation."
CAND_0041669,15,0.7157,"Directly relevant skill set spanning retrieval, faiss, ranking and 4 other JD requirements. Career history includes clear production deployment evidence over 8 years."
CAND_0086022,16,0.7133,"Well-matched on core JD requirements with skills in retrieval, vector search, faiss. Proof-of-work signals are present (shipped (2 signals) · scale (3 signals) · retrieval infra (4 signals) · eval rigor (8 signals)). The main concern is that credibility signals: possible keyword inflation."
CAND_0094759,17,0.7116,"Clear alignment on 10 JD requirements, notably retrieval, vector search, faiss. Career history includes clear production deployment evidence over 9 years. That said, credibility signals: low description quality."
CAND_0044883,18,0.7092,"Clear alignment on 9 JD requirements, notably retrieval, faiss, elasticsearch. Career history includes clear production deployment evidence over 6 years."
CAND_0033861,19,0.7017,"Well-matched on core JD requirements with skills in retrieval, vector search, elasticsearch. Career history includes clear production deployment evidence over 8 years."
CAND_0044855,20,0.7006,"The profile covers key areas the JD calls for, including retrieval, vector search, faiss. The career path shows 3 relevant engineering roles, indicating sustained focus."
CAND_0064326,21,0.6991,"Directly relevant skill set spanning python, retrieval, bm25 and 4 other JD requirements. The technical stack includes bm25, pinecone, which aligns with JD needs. The main concern is that credibility signals: low description quality."
CAND_0055992,22,0.6973,"Directly relevant skill set spanning retrieval, faiss, elasticsearch and 6 other JD requirements. Career history includes clear production deployment evidence over 17 years."
CAND_0041610,23,0.6951,"Clear alignment on 7 JD requirements, notably retrieval, elasticsearch, bm25. Currently open to opportunities with a 30-day notice period. That said, credibility signals: low description quality."
CAND_0060054,24,0.6945,"Well-matched on core JD requirements with skills in retrieval, faiss, elasticsearch. The technical stack includes faiss, elasticsearch, which aligns with JD needs."
CAND_0005260,25,0.6936,"The profile covers key areas the JD calls for, including python, retrieval, vector search. Background includes experience at a major tech company. A limitation is that credibility signals: possible keyword inflation."
CAND_0088025,26,0.6917,"Clear alignment on 8 JD requirements, notably python, retrieval, elasticsearch. The career path shows 3 relevant engineering roles, indicating sustained focus. The main concern is that credibility signals: low description quality."
CAND_0068811,27,0.6909,"Directly relevant skill set spanning retrieval, vector search, production ml and 3 other JD requirements. The career path shows 4 relevant engineering roles, indicating sustained focus."
CAND_0093547,28,0.6904,"Well-matched on core JD requirements with skills in python, retrieval, faiss. Career history includes clear production deployment evidence over 3 years. That said, credibility signals: low description quality."
CAND_0010685,29,0.6884,"Well-matched on core JD requirements with skills in retrieval, faiss, elasticsearch. Currently open to opportunities with a 30-day notice period."
CAND_0011162,30,0.6879,"The profile covers key areas the JD calls for, including python, retrieval, vector search. Background includes experience at a major tech company."
CAND_0028793,31,0.6836,"The profile covers key areas the JD calls for, including retrieval, faiss, elasticsearch. Background includes experience at a major tech company."
CAND_0030031,32,0.6821,"Well-matched on core JD requirements with skills in python, retrieval, vector search. Career history includes clear production deployment evidence over 6 years."
CAND_0080766,33,0.6804,"The profile covers key areas the JD calls for, including python, retrieval, elasticsearch. The technical stack includes elasticsearch, opensearch, which aligns with JD needs."
CAND_0061265,34,0.6799,"The profile covers key areas the JD calls for, including retrieval, vector search, faiss. The career path shows 3 relevant engineering roles, indicating sustained focus."
CAND_0075574,35,0.6786,"Technically well-positioned for this role, with evidence of elasticsearch, opensearch, bm25 usage. The career path shows 3 relevant engineering roles, indicating sustained focus."
CAND_0083307,36,0.6753,"The profile covers key areas the JD calls for, including python, retrieval, vector search. Background includes experience at a major tech company. However, credibility signals: low description quality."
CAND_0027691,37,0.6748,"Clear alignment on 10 JD requirements, notably python, retrieval, faiss. The technical stack includes faiss, elasticsearch, which aligns with JD needs."
CAND_0042506,38,0.674,"Directly relevant skill set spanning retrieval, faiss, ranking and 4 other JD requirements. Currently open to opportunities with a 15-day notice period. A limitation is that credibility signals: possible keyword inflation."
CAND_0030953,39,0.6727,"Directly relevant skill set spanning python, retrieval, faiss and 6 other JD requirements. The career path shows 5 relevant engineering roles, indicating sustained focus. A limitation is that credibility signals: low description quality."
CAND_0029367,40,0.668,"Directly relevant skill set spanning retrieval, vector search, faiss and 6 other JD requirements. The technical stack includes faiss, elasticsearch, which aligns with JD needs. That said, credibility signals: low description quality."
CAND_0093912,41,0.6667,"Well-matched on core JD requirements with skills in retrieval, vector search, faiss. Background includes experience at a major tech company. A limitation is that credibility signals: low description quality."
CAND_0018722,42,0.6641,"The profile covers key areas the JD calls for, including python, retrieval, faiss. The career path shows 3 relevant engineering roles, indicating sustained focus. The main concern is that credibility signals: low description quality."
CAND_0007411,43,0.6639,"Clear alignment on 8 JD requirements, notably retrieval, vector search, bm25. Proof-of-work signals are present (shipped (3 signals) · scale (4 signals) · retrieval infra (2 signals) · eval rigor (5 signals)). A limitation is that credibility signals: possible keyword inflation."
CAND_0077285,44,0.6632,"Clear alignment on 6 JD requirements, notably retrieval, faiss, production ml. The career path shows 3 relevant engineering roles, indicating sustained focus."
CAND_0092278,45,0.6631,"The profile covers key areas the JD calls for, including retrieval, vector search, faiss. Proof-of-work signals are present (shipped (2 signals) · scale (1 signals) · retrieval infra (4 signals) · eval rigor (8 signals)). A limitation is that credibility signals: possible keyword inflation, low description quality."
CAND_0041568,46,0.6618,"The profile covers key areas the JD calls for, including retrieval, vector search, faiss. Career history includes clear production deployment evidence over 5 years."
CAND_0086151,47,0.6618,"Directly relevant skill set spanning retrieval, faiss, elasticsearch and 5 other JD requirements. The technical stack includes faiss, elasticsearch, which aligns with JD needs."
CAND_0081686,48,0.6603,"The profile covers key areas the JD calls for, including python, retrieval, faiss. Background includes experience at a major tech company."
CAND_0005269,49,0.6587,"Directly relevant skill set spanning python, retrieval, faiss and 4 other JD requirements. Career history includes clear production deployment evidence over 6 years."
CAND_0053695,50,0.6573,"Well-matched on core JD requirements with skills in retrieval, faiss, elasticsearch. Career history includes clear production deployment evidence over 6 years."
CAND_0074735,51,0.6572,"Well-matched on core JD requirements with skills in retrieval, vector search, elasticsearch. Career history includes clear production deployment evidence over 6 years. One area to note: credibility signals: low description quality."
CAND_0007009,52,0.6565,"Well-matched on core JD requirements with skills in python, retrieval, faiss. Background includes experience at a major tech company. A limitation is that credibility signals: low description quality."
CAND_0027801,53,0.6546,"Well-matched on core JD requirements with skills in retrieval, vector search, faiss. The technical stack includes faiss, elasticsearch, which aligns with JD needs. However, credibility signals: low description quality."
CAND_0051292,54,0.6536,"Clear alignment on 9 JD requirements, notably retrieval, vector search, faiss. Currently open to opportunities with a 30-day notice period."
CAND_0051003,55,0.6531,"Well-matched on core JD requirements with skills in python, retrieval, vector search. Career history includes clear production deployment evidence over 4 years."
CAND_0037000,56,0.652,"Directly relevant skill set spanning retrieval, faiss, bm25 and 4 other JD requirements. The career path shows 3 relevant engineering roles, indicating sustained focus."
CAND_0069905,57,0.6511,"Directly relevant skill set spanning python, retrieval, faiss and 6 other JD requirements. The technical stack includes faiss, elasticsearch, which aligns with JD needs. That said, credibility signals: low description quality."
CAND_0031593,58,0.6494,"Clear alignment on 6 JD requirements, notably retrieval, elasticsearch, bm25. Career history includes clear production deployment evidence over 8 years."
CAND_0017960,59,0.6479,"Well-matched on core JD requirements with skills in python, retrieval, faiss. Career history includes clear production deployment evidence over 8 years. That said, credibility signals: low description quality."
CAND_0014440,60,0.6475,"The profile covers key areas the JD calls for, including retrieval, faiss, elasticsearch. The career path shows 3 relevant engineering roles, indicating sustained focus. A limitation is that credibility signals: low description quality."
CAND_0042029,61,0.6471,"Clear alignment on 7 JD requirements, notably retrieval, faiss, elasticsearch. The technical stack includes faiss, elasticsearch, which aligns with JD needs. The main concern is that credibility signals: possible keyword inflation."
CAND_0064904,62,0.6455,"The profile covers key areas the JD calls for, including python, retrieval, vector search. The technical stack includes elasticsearch, opensearch, which aligns with JD needs. One area to note: credibility signals: possible keyword inflation."
CAND_0054123,63,0.6445,"Clear alignment on 10 JD requirements, notably python, retrieval, vector search. Career history includes clear production deployment evidence over 5 years. The main concern is that credibility signals: possible keyword inflation."
CAND_0043228,64,0.6441,"Clear alignment on 9 JD requirements, notably retrieval, vector search, faiss. The technical stack includes faiss, elasticsearch, which aligns with JD needs."
CAND_0064270,65,0.6431,"The profile covers key areas the JD calls for, including retrieval, faiss, elasticsearch. The technical stack includes faiss, elasticsearch, which aligns with JD needs."
CAND_0006418,66,0.64,"Well-matched on core JD requirements with skills in retrieval, elasticsearch, production ml. Career history includes clear production deployment evidence over 6 years. A limitation is that credibility signals: possible keyword inflation."
CAND_0039838,67,0.6386,"Directly relevant skill set spanning vector search, faiss, production ml and 4 other JD requirements. Career history includes clear production deployment evidence over 5 years. That said, credibility signals: possible keyword inflation."
CAND_0020845,68,0.6381,"Partial but meaningful skill overlap with the JD, particularly in python, retrieval. The technical stack includes elasticsearch, pinecone, which aligns with JD needs. A limitation is that credibility signals: low description quality."
CAND_0006557,69,0.6376,"Well-matched on core JD requirements with skills in retrieval, vector search, faiss. Background includes experience at a major tech company. A limitation is that credibility signals: possible keyword inflation."
CAND_0010770,70,0.6372,"Clear alignment on 7 JD requirements, notably retrieval, faiss, elasticsearch. Currently open to opportunities with a 30-day notice period. That said, credibility signals: low description quality."
CAND_0099806,71,0.6365,"Directly relevant skill set spanning retrieval, faiss, elasticsearch and 4 other JD requirements. The technical stack includes faiss, elasticsearch, which aligns with JD needs. However, credibility signals: low description quality."
CAND_0033179,72,0.6351,"Clear alignment on 6 JD requirements, notably python, retrieval, production ml. Currently open to opportunities with a 30-day notice period."
CAND_0074225,73,0.6345,"Directly relevant skill set spanning python, retrieval, vector search and 5 other JD requirements. Career history includes clear production deployment evidence over 4 years. That said, credibility signals: possible keyword inflation."
CAND_0084819,74,0.6334,"Well-matched on core JD requirements with skills in retrieval, bm25, ranking. Career history includes clear production deployment evidence over 4 years. That said, credibility signals: possible keyword inflation."
CAND_0036437,75,0.6312,"Clear alignment on 7 JD requirements, notably retrieval, vector search, faiss. The technical stack includes faiss, elasticsearch, which aligns with JD needs. That said, credibility signals: low description quality."
CAND_0039383,76,0.6311,"Well-matched on core JD requirements with skills in retrieval, vector search, faiss. The technical stack includes faiss, elasticsearch, which aligns with JD needs. One area to note: credibility signals: low description quality."
CAND_0061339,77,0.6305,"The profile covers key areas the JD calls for, including retrieval, vector search, ranking. The technical stack includes opensearch, milvus, which aligns with JD needs. One area to note: credibility signals: low description quality."
CAND_0095528,78,0.63,"Clear alignment on 9 JD requirements, notably python, retrieval, vector search. Background includes experience at a major tech company. That said, credibility signals: possible keyword inflation."
CAND_0066376,79,0.6298,"The profile covers key areas the JD calls for, including retrieval, faiss, elasticsearch. The technical stack includes faiss, elasticsearch, which aligns with JD needs. The main concern is that credibility signals: possible keyword inflation."
CAND_0098846,80,0.6283,"Partial but meaningful skill overlap with the JD, particularly in retrieval, production ml. The technical stack includes pinecone, qdrant, which aligns with JD needs. However, credibility signals: low description quality."
CAND_0088526,81,0.6251,"Clear alignment on 7 JD requirements, notably python, retrieval, faiss. Career history includes clear production deployment evidence over 5 years."
CAND_0050876,82,0.6243,"The candidate's background touches on python, faiss and 3 other relevant areas. The technical stack includes faiss, opensearch, which aligns with JD needs. One area to note: credibility signals: low description quality."
CAND_0060303,83,0.6241,"The profile covers key areas the JD calls for, including python, retrieval, faiss. The career path shows 3 relevant engineering roles, indicating sustained focus."
CAND_0076251,84,0.6235,"Well-matched on core JD requirements with skills in retrieval, faiss, elasticsearch. Background includes experience at a major tech company. However, credibility signals: low description quality."
CAND_0070398,85,0.6234,"Clear alignment on 10 JD requirements, notably python, retrieval, faiss. The career path shows 3 relevant engineering roles, indicating sustained focus. However, credibility signals: low description quality."
CAND_0049538,86,0.6207,"Well-matched on core JD requirements with skills in retrieval, vector search, elasticsearch. Career history includes clear production deployment evidence over 6 years. One area to note: credibility signals: low description quality."
CAND_0045250,87,0.6165,"Directly relevant skill set spanning retrieval, vector search, bm25 and 4 other JD requirements. Career history includes clear production deployment evidence over 7 years. The main concern is that credibility signals: possible keyword inflation."
CAND_0068351,88,0.6156,"The profile covers key areas the JD calls for, including python, retrieval, elasticsearch. Background includes experience at a major tech company."
CAND_0052328,89,0.6148,"Well-matched on core JD requirements with skills in python, retrieval, vector search. Career history includes clear production deployment evidence over 6 years. A limitation is that credibility signals: possible keyword inflation."
CAND_0013536,90,0.6143,"Clear alignment on 7 JD requirements, notably retrieval, vector search, faiss. The technical stack includes faiss, elasticsearch, which aligns with JD needs. The main concern is that credibility signals: low description quality."
CAND_0099401,91,0.6128,"Directly relevant skill set spanning python, retrieval, bm25 and 6 other JD requirements. The technical stack includes bm25, qdrant, which aligns with JD needs. A limitation is that credibility signals: low description quality."
CAND_0019480,92,0.6065,"The technical profile is a strong match, with hands-on opensearch, bm25, pinecone experience. Career history includes clear production deployment evidence over 3 years. One area to note: credibility signals: low description quality."
CAND_0072660,93,0.6065,"Clear alignment on 9 JD requirements, notably python, retrieval, faiss. Currently open to opportunities with a 30-day notice period. The main concern is that credibility signals: low description quality."
CAND_0009691,94,0.605,"Partial but meaningful skill overlap with the JD, particularly in faiss, ranking. Background includes experience at a major tech company. The main concern is that credibility signals: low description quality."
CAND_0025640,95,0.6016,"The profile covers key areas the JD calls for, including python, retrieval, faiss. Career history includes clear production deployment evidence over 6 years."
CAND_0037944,96,0.6007,"Directly relevant skill set spanning python, retrieval, vector search and 4 other JD requirements. Career history includes clear production deployment evidence over 5 years. That said, credibility signals: possible keyword inflation."
CAND_0043958,97,0.6003,"The profile covers key areas the JD calls for, including python, retrieval, faiss. Career history includes clear production deployment evidence over 7 years."
CAND_0014743,98,0.5997,"The profile covers key areas the JD calls for, including python, retrieval, elasticsearch. The technical stack includes elasticsearch, bm25, which aligns with JD needs."
CAND_0011327,99,0.5996,"Clear alignment on 6 JD requirements, notably python, retrieval, production ml. Career history includes clear production deployment evidence over 6 years."
CAND_0046095,100,0.5988,"Directly relevant skill set spanning python, retrieval, faiss and 4 other JD requirements. Career history includes clear production deployment evidence over 4 years."
